"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test positive: Mở trang chủ https://demoqa.com, click vào card 'Elements' và verify URL.
    ","2254","test_navigate_to_elements","tests","Fri Jun 06 16:06:07 GMT 2025","failed","Fri Jun 06 16:06:09 GMT 2025","","test_demoqa","",""
"","31019","test_navigate_to_elements","tests","Fri Jun 06 16:06:31 GMT 2025","failed","Fri Jun 06 16:07:02 GMT 2025","TestDemoQAPOM","test_demoqa_pom","",""
"
    Test negative: Mở trang chủ, tìm một element không tồn tại và  nó ném NoSuchElementException.
    ","10378","test_negative_nonexistent_element_2","tests","Fri Jun 06 16:06:20 GMT 2025","passed","Fri Jun 06 16:06:30 GMT 2025","","test_demoqa","",""
"
    Test negative: Mở trang chủ, tìm một element không tồn tại và verify nó ném NoSuchElementException.
    ","10385","test_negative_nonexistent_element","tests","Fri Jun 06 16:06:10 GMT 2025","passed","Fri Jun 06 16:06:20 GMT 2025","","test_demoqa","",""
